광고 세트 이름,연령,성,일,캠페인 이름,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,페이지 참여,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,보고 시작,보고 종료
7 (인스타스토리),45-54,male,2021-03-28,7 (전체),,1,1,,1,1,,,,,,,,,,,2021-03-28,2021-03-28
7 (인스타스토리),45-54,female,2021-03-28,7 (전체),,1,1,,0,1,,,,,,,,,,,2021-03-28,2021-03-28
8 (페이스북),35-44,male,2021-03-28,8 - 남자 (전체),,46,47,,172.2005831,1.02173913,,,,,,,,,,,2021-03-28,2021-03-28
6 (페이스북),25-34,unknown,2021-03-28,6 (전체),,1,1,,1,1,,,,,,,,,,,2021-03-28,2021-03-28
8 (페이스북),25-34,female,2021-03-28,8 - 여자 (전체),3,22,25,42.33333333,127,1.136363636,3,3,2,63.5,5,1,5,1,,,2021-03-28,2021-03-28
6 (페이스북),35-44,male,2021-03-28,6 (전체),,72,75,,118,1.041666667,,,,,,,,,,,2021-03-28,2021-03-28
3 (페이스북),25-34,female,2021-03-28,3 (전체),9,410,430,180.4444444,1624,1.048780488,9,9,5,324.8,10,,10,,1,,2021-03-28,2021-03-28
6 (페이스북),45-54,male,2021-03-28,6 (전체),1,29,31,45,45,1.068965517,1,1,1,45,1,,1,,,,2021-03-28,2021-03-28
3 (인스타피드),18-24,female,2021-03-28,3 (전체),18,900,906,258.2777778,4649,1.006666667,17,18,13,357.6153846,23,,23,2,2,1,2021-03-28,2021-03-28
3 (인스타피드),Unknown,unknown,2021-03-28,3 (전체),,1,1,,6,1,,,,,,,,,,,2021-03-28,2021-03-28
2 (페이스북),18-24,unknown,2021-03-28,2 (전체),,1,1,,7,1,,,,,,,,,,,2021-03-28,2021-03-28
2 (페이스북),18-24,female,2021-03-28,2 (전체),38,1833,2037,225.7631579,8579,1.111292962,34,38,29,295.8275862,43,,43,4,,1,2021-03-28,2021-03-28
2 (페이스북),18-24,male,2021-03-28,2 (전체),3,288,318,281,843,1.104166667,3,3,3,281,3,,3,,,,2021-03-28,2021-03-28
3 (페이스북),18-24,female,2021-03-28,3 (전체),29,1511,1604,212.0344828,6149,1.061548643,29,29,23,267.3478261,30,,30,,,1,2021-03-28,2021-03-28
1 (인스타피드),18-24,female,2021-03-28,1 (전체),7,519,523,282.7142857,1979,1.007707129,7,7,6,329.8333333,12,,12,2,3,,2021-03-28,2021-03-28
1 (인스타피드),13-17,unknown,2021-03-28,1 (전체),,11,11,,26,1,,,,,,,,,,,2021-03-28,2021-03-28
2 (인스타피드),Unknown,unknown,2021-03-28,2 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-28,2021-03-28
2 (인스타피드),18-24,female,2021-03-28,2 (전체),15,558,562,195.7333333,2936,1.007168459,14,15,11,266.9090909,21,,21,6,,,2021-03-28,2021-03-28
4 (페이스북),18-24,female,2021-03-28,4 (전체),9,300,313,138.1111111,1243,1.043333333,8,9,9,138.1111111,10,,10,,,1,2021-03-28,2021-03-28
4 (페이스북),25-34,female,2021-03-28,4 (전체),3,79,81,118.3333333,355,1.025316456,3,3,2,177.5,3,,3,,,,2021-03-28,2021-03-28
4 (인스타피드),18-24,female,2021-03-28,4 (전체),45,1515,1522,186.6888889,8401,1.004620462,45,45,37,227.0540541,53,1,53,4,3,,2021-03-28,2021-03-28
1 (인스타피드),13-17,female,2021-03-28,1 (전체),43,2457,2510,180.2790698,7752,1.021571022,43,43,38,204,56,,56,10,3,,2021-03-28,2021-03-28
1 (인스타피드),13-17,male,2021-03-28,1 (전체),5,407,408,168.4,842,1.002457002,5,5,5,168.4,7,,7,1,1,,2021-03-28,2021-03-28
4 (인스타피드),Unknown,unknown,2021-03-28,4 (전체),,3,3,,14,1,,,,,,,,,,,2021-03-28,2021-03-28
9 (인스타스토리),25-34,male,2021-03-28,9 (전체),,4,4,,34,1,,,,,,,,,,,2021-03-28,2021-03-28
2 (인스타스토리),18-24,unknown,2021-03-28,2 (전체),,5,5,,23,1,,,,,,,,,,,2021-03-28,2021-03-28
1 (페이스북),18-24,male,2021-03-28,1 (전체),,73,74,,176.2113933,1.01369863,,,,,,,,,,,2021-03-28,2021-03-28
1 (페이스북),18-24,female,2021-03-28,1 (전체),5,193,205,148.3780027,741.8900137,1.062176166,4,5,3,247.2966712,5,,5,,,,2021-03-28,2021-03-28
1 (페이스북),13-17,male,2021-03-28,1 (전체),8,472,563,160.9430765,1287.544612,1.19279661,7,8,4,321.8861531,8,,8,,,,2021-03-28,2021-03-28
1 (페이스북),13-17,female,2021-03-28,1 (전체),22,945,1077,164.9706355,3629.353981,1.13968254,18,22,18,201.6307767,24,,24,1,1,,2021-03-28,2021-03-28
9 (인스타스토리),18-24,unknown,2021-03-28,9 (전체),,1,1,,0,1,,,,,,,,,,,2021-03-28,2021-03-28
9 (인스타스토리),18-24,male,2021-03-28,9 (전체),,16,16,,45,1,,,,,,,,,,,2021-03-28,2021-03-28
1 (인스타피드),18-24,male,2021-03-28,1 (전체),1,75,75,257,257,1,1,1,1,257,1,,1,,,,2021-03-28,2021-03-28
9 (인스타스토리),25-34,female,2021-03-28,9 (전체),,22,22,,62,1,,,,,,,,,,,2021-03-28,2021-03-28
9 (인스타스토리),18-24,female,2021-03-28,9 (전체),5,307,311,180.2,901,1.013029316,5,5,4,225.25,5,,5,,,,2021-03-28,2021-03-28
2 (인스타스토리),18-24,male,2021-03-28,2 (전체),,44,45,,134,1.022727273,,,,,,,,,,,2021-03-28,2021-03-28
2 (인스타스토리),18-24,female,2021-03-28,2 (전체),8,558,564,231.375,1851,1.010752688,8,8,8,231.375,8,,8,,,,2021-03-28,2021-03-28
1 (인스타피드),Unknown,unknown,2021-03-28,1 (전체),,2,2,,8,1,,,,,,,,,,,2021-03-28,2021-03-28
3 (인스타피드),25-34,female,2021-03-28,3 (전체),7,198,198,198.1428571,1387,1,7,7,5,277.4,11,,11,1,3,,2021-03-28,2021-03-28
1 (인스타피드),18-24,unknown,2021-03-28,1 (전체),,5,5,,15,1,,,,,,,,,,,2021-03-28,2021-03-28
4 (인스타피드),25-34,female,2021-03-28,4 (전체),9,173,173,129.6666667,1167,1,9,9,6,194.5,12,,12,1,1,1,2021-03-28,2021-03-28
2 (인스타피드),18-24,male,2021-03-28,2 (전체),1,87,88,351,351,1.011494253,1,1,,,2,,2,1,,,2021-03-28,2021-03-28
2 (인스타피드),18-24,unknown,2021-03-28,2 (전체),,3,3,,15,1,,,,,,,,,,,2021-03-28,2021-03-28
5 (인스타피드),25-34,female,2021-03-28,5 (전체),32,669,672,186.53125,5969,1.004484305,32,32,26,229.5769231,39,,39,2,5,,2021-03-28,2021-03-28
9 (인스타피드),18-24,female,2021-03-28,9 (전체),41,1727,1741,233.3658537,9568,1.008106543,40,41,30,318.9333333,51,,51,1,9,,2021-03-28,2021-03-28
1 (인스타스토리),13-17,female,2021-03-28,1 (전체),24,1919,1991,189.125,4539,1.037519541,21,24,21,216.1428571,24,,24,,,,2021-03-28,2021-03-28
1 (인스타스토리),18-24,female,2021-03-28,1 (전체),4,216,218,199.5,798,1.009259259,4,4,3,266,4,,4,,,,2021-03-28,2021-03-28
1 (인스타스토리),18-24,male,2021-03-28,1 (전체),,11,11,,35,1,,,,,,,,,,,2021-03-28,2021-03-28
3 (인스타스토리),18-24,female,2021-03-28,3 (전체),2,197,198,389.5,779,1.005076142,2,2,2,389.5,2,,2,,,,2021-03-28,2021-03-28
3 (인스타스토리),25-34,female,2021-03-28,3 (전체),,18,18,,97,1,,,,,,,,,,,2021-03-28,2021-03-28
5 (인스타피드),18-24,female,2021-03-28,5 (전체),8,251,251,290.875,2327,1,8,8,7,332.4285714,11,,11,2,,1,2021-03-28,2021-03-28
1 (인스타스토리),13-17,male,2021-03-28,1 (전체),,120,120,,207,1,,,,,,,,,,,2021-03-28,2021-03-28
5 (인스타피드),35-44,female,2021-03-28,5 (전체),,6,6,,70,1,,,,,,,,,,,2021-03-28,2021-03-28
5 (인스타피드),Unknown,unknown,2021-03-28,5 (전체),,2,2,,32,1,,,,,,,,,,,2021-03-28,2021-03-28
6 (페이스북),25-34,male,2021-03-28,6 (전체),1,104,111,143,143,1.067307692,1,1,1,143,1,,1,,,,2021-03-28,2021-03-28
6 (페이스북),35-44,female,2021-03-28,6 (전체),1,84,90,245,245,1.071428571,1,1,1,245,1,,1,,,,2021-03-28,2021-03-28
6 (페이스북),45-54,female,2021-03-28,6 (전체),1,41,41,112,112,1,1,1,1,112,1,,1,,,,2021-03-28,2021-03-28
6 (페이스북),25-34,female,2021-03-28,6 (전체),1,318,343,1215,1215,1.078616352,1,1,1,1215,2,,2,1,,,2021-03-28,2021-03-28
9 (인스타피드),18-24,unknown,2021-03-28,9 (전체),,5,5,,40,1,,,,,1,,1,,1,,2021-03-28,2021-03-28
9 (인스타피드),25-34,female,2021-03-28,9 (전체),20,557,562,191.75,3835,1.008976661,20,20,17,225.5882353,21,,21,1,,,2021-03-28,2021-03-28
5 (인스타스토리),35-44,female,2021-03-28,5 (전체),,2,2,,14,1,,,,,,,,,,,2021-03-28,2021-03-28
9 (인스타피드),25-34,unknown,2021-03-28,9 (전체),,5,5,,23,1,,,,,,,,,,,2021-03-28,2021-03-28
4 (인스타피드),13-17,unknown,2021-03-28,4 (전체),,1,1,,1,1,,,,,,,,,,,2021-03-28,2021-03-28
4 (인스타스토리),18-24,female,2021-03-28,4 (전체),12,786,789,263.4166667,3161,1.003816794,12,12,11,287.3636364,12,,12,,,,2021-03-28,2021-03-28
4 (인스타스토리),25-34,female,2021-03-28,4 (전체),3,53,53,107,321,1,2,3,2,160.5,3,,3,,,,2021-03-28,2021-03-28
5 (페이스북),25-34,female,2021-03-28,5 (전체),19,730,773,190.2631579,3615,1.05890411,19,19,18,200.8333333,20,,20,,,1,2021-03-28,2021-03-28
1 (인스타스토리),13-17,unknown,2021-03-28,1 (전체),,5,5,,5,1,,,,,,,,,,,2021-03-28,2021-03-28
5 (페이스북),18-24,female,2021-03-28,5 (전체),11,342,358,157.8181818,1736,1.046783626,11,11,10,173.6,11,,11,,,,2021-03-28,2021-03-28
5 (페이스북),35-44,female,2021-03-28,5 (전체),,15,17,,62,1.133333333,,,,,,,,,,,2021-03-28,2021-03-28
9 (인스타피드),Unknown,unknown,2021-03-28,9 (전체),,2,2,,6,1,,,,,,,,,,,2021-03-28,2021-03-28
9 (인스타피드),25-34,male,2021-03-28,9 (전체),1,56,56,328,328,1,1,1,,,1,,1,,,,2021-03-28,2021-03-28
9 (인스타피드),18-24,male,2021-03-28,9 (전체),3,136,136,248.6666667,746,1,3,3,2,373,3,,3,,,,2021-03-28,2021-03-28
5 (인스타스토리),18-24,female,2021-03-28,5 (전체),1,57,57,338,338,1,1,1,1,338,1,,1,,,,2021-03-28,2021-03-28
5 (인스타스토리),25-34,female,2021-03-28,5 (전체),1,87,87,472,472,1,1,1,,,1,,1,,,,2021-03-28,2021-03-28
8 (인스타스토리),25-34,male,2021-03-27,8 - 남자 (전체),1,11,11,116,116,1,1,1,1,116,1,,1,,,,2021-03-27,2021-03-27
8 (인스타스토리),25-34,female,2021-03-27,8 - 여자 (전체),,23,23,,106,1,,,,,,,,,,,2021-03-27,2021-03-27
8 (페이스북),35-44,male,2021-03-27,8 - 남자 (전체),1,69,75,299.3584595,299.3584595,1.086956522,1,1,,,1,,1,,,,2021-03-27,2021-03-27
8 (인스타피드),25-34,male,2021-03-27,8 - 남자 (전체),4,259,263,586.5,2346,1.015444015,4,4,2,1173,6,,6,1,1,,2021-03-27,2021-03-27
8 (인스타피드),35-44,male,2021-03-27,8 - 남자 (전체),,12,12,,130,1,,,,,,,,,,,2021-03-27,2021-03-27
8 (페이스북),25-34,male,2021-03-27,8 - 남자 (전체),20,1442,1575,319.082077,6381.641541,1.09223301,18,20,12,531.8034617,21,,21,1,,,2021-03-27,2021-03-27
10 (페이스북),18-24,male,2021-03-27,10 (전체),1,155,167,1021,1021,1.077419355,1,1,2,510.5,1,,1,,,,2021-03-27,2021-03-27
10 (페이스북),18-24,female,2021-03-27,10 (전체),28,1049,1133,245.4285714,6872,1.080076263,27,28,19,361.6842105,31,1,31,1,1,,2021-03-27,2021-03-27
10 (인스타피드),13-17,unknown,2021-03-27,10 (전체),,1,1,,5,1,,,,,,,,,,,2021-03-27,2021-03-27
10 (페이스북),25-34,female,2021-03-27,10 (전체),8,163,173,153.625,1229,1.061349693,8,8,4,307.25,9,,9,1,,,2021-03-27,2021-03-27
10 (인스타스토리),25-34,male,2021-03-27,10 (전체),,3,3,,14,1,,,,,,,,,,,2021-03-27,2021-03-27
9 (인스타피드),18-24,female,2021-03-27,9 (전체),44,1525,1540,190.6136364,8387,1.009836066,42,44,33,254.1515152,64,,64,7,13,,2021-03-27,2021-03-27
9 (인스타피드),25-34,female,2021-03-27,9 (전체),10,360,363,251.6,2516,1.008333333,10,10,9,279.5555556,12,,12,,2,,2021-03-27,2021-03-27
9 (인스타피드),18-24,male,2021-03-27,9 (전체),2,122,124,299.5,599,1.016393443,2,2,2,299.5,2,,2,,,,2021-03-27,2021-03-27
9 (인스타피드),25-34,male,2021-03-27,9 (전체),,58,58,,364,1,,,,,,,,,,,2021-03-27,2021-03-27
9 (인스타피드),18-24,unknown,2021-03-27,9 (전체),,5,5,,33,1,,,,,,,,,,,2021-03-27,2021-03-27
8 (페이스북),35-44,female,2021-03-27,8 - 여자 (전체),,3,3,,28,1,,,,,,,,,,,2021-03-27,2021-03-27
9 (페이스북),18-24,unknown,2021-03-27,9 (전체),,1,1,,10.00266684,1,,,,,,,,,,,2021-03-27,2021-03-27
9 (페이스북),25-34,male,2021-03-27,9 (전체),2,83,87,298.5796053,597.1592106,1.048192771,2,2,2,298.5796053,2,,2,,,,2021-03-27,2021-03-27
9 (페이스북),18-24,male,2021-03-27,9 (전체),5,198,209,278.0741383,1390.370691,1.055555556,4,5,2,695.1853457,6,,6,,1,,2021-03-27,2021-03-27
9 (페이스북),25-34,female,2021-03-27,9 (전체),11,386,418,310.7192055,3417.911261,1.082901554,11,11,6,569.6518768,12,,12,1,,,2021-03-27,2021-03-27
9 (페이스북),18-24,female,2021-03-27,9 (전체),30,1318,1413,319.5852057,9587.55617,1.072078907,29,30,24,399.4815071,35,2,35,1,,2,2021-03-27,2021-03-27
10 (인스타스토리),18-24,unknown,2021-03-27,10 (전체),,1,1,,1,1,,,,,,,,,,,2021-03-27,2021-03-27
10 (인스타스토리),25-34,female,2021-03-27,10 (전체),,7,7,,15,1,,,,,,,,,,,2021-03-27,2021-03-27
10 (페이스북),25-34,male,2021-03-27,10 (전체),,35,35,,242,1,,,,,,,,,,,2021-03-27,2021-03-27
10 (인스타스토리),18-24,male,2021-03-27,10 (전체),,8,8,,11,1,,,,,,,,,,,2021-03-27,2021-03-27
10 (인스타스토리),18-24,female,2021-03-27,10 (전체),4,163,164,117.75,471,1.006134969,4,4,4,117.75,4,,4,,,,2021-03-27,2021-03-27
10 (인스타피드),18-24,unknown,2021-03-27,10 (전체),,4,4,,30,1,,,,,,,,,,,2021-03-27,2021-03-27
10 (인스타피드),25-34,unknown,2021-03-27,10 (전체),,4,4,,20,1,,,,,,,,,,,2021-03-27,2021-03-27
10 (인스타피드),25-34,female,2021-03-27,10 (전체),8,255,256,198.75,1590,1.003921569,8,8,6,265,9,,9,1,,,2021-03-27,2021-03-27
10 (인스타피드),25-34,male,2021-03-27,10 (전체),3,53,54,92.66666667,278,1.018867925,3,3,3,92.66666667,3,,3,,,,2021-03-27,2021-03-27
10 (인스타피드),18-24,female,2021-03-27,10 (전체),22,1009,1013,262.9090909,5784,1.003964321,22,22,18,321.3333333,31,,31,5,4,,2021-03-27,2021-03-27
10 (인스타피드),18-24,male,2021-03-27,10 (전체),5,149,149,132.2,661,1,5,5,5,132.2,6,,6,1,,,2021-03-27,2021-03-27
9 (인스타스토리),18-24,female,2021-03-27,9 (전체),1,97,99,257,257,1.020618557,1,1,,,1,,1,,,,2021-03-27,2021-03-27
9 (인스타스토리),18-24,male,2021-03-27,9 (전체),1,19,19,118,118,1,1,1,,,1,,1,,,,2021-03-27,2021-03-27
9 (인스타스토리),25-34,female,2021-03-27,9 (전체),,7,7,,22,1,,,,,,,,,,,2021-03-27,2021-03-27
9 (인스타스토리),25-34,male,2021-03-27,9 (전체),,4,4,,29,1,,,,,,,,,,,2021-03-27,2021-03-27
10 (페이스북),18-24,unknown,2021-03-27,10 (전체),,3,3,,35,1,,,,,,,,,,,2021-03-27,2021-03-27
9 (인스타피드),25-34,unknown,2021-03-27,9 (전체),,3,3,,8,1,,,,,,,,,,,2021-03-27,2021-03-27
3 (인스타스토리),18-24,female,2021-03-27,3 (전체),7,460,464,282.4285714,1977,1.008695652,7,7,5,395.4,7,,7,,,,2021-03-27,2021-03-27
8 (페이스북),25-34,female,2021-03-27,8 - 여자 (전체),,31,31,,240,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (인스타피드),45-54,unknown,2021-03-27,6 (전체),,1,1,,1,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (페이스북),25-34,unknown,2021-03-27,6 (전체),,2,2,,10.00226347,1,,,,,,,,,,,2021-03-27,2021-03-27
3 (인스타피드),18-24,female,2021-03-27,3 (전체),26,1100,1108,218.1923077,5673,1.007272727,26,26,23,246.6521739,34,,34,2,6,,2021-03-27,2021-03-27
3 (인스타피드),13-17,unknown,2021-03-27,3 (전체),,1,1,,13,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (인스타피드),25-34,female,2021-03-27,6 (전체),35,968,976,253.2571429,8864,1.008264463,35,35,33,268.6060606,38,,38,,3,,2021-03-27,2021-03-27
6 (인스타피드),25-34,male,2021-03-27,6 (전체),6,193,193,252.1666667,1513,1,6,6,5,302.6,8,,8,1,1,,2021-03-27,2021-03-27
6 (인스타피드),35-44,female,2021-03-27,6 (전체),6,128,129,208.1666667,1249,1.0078125,6,6,4,312.25,6,,6,,,,2021-03-27,2021-03-27
6 (인스타피드),45-54,female,2021-03-27,6 (전체),1,8,8,49,49,1,1,1,1,49,1,,1,,,,2021-03-27,2021-03-27
6 (인스타피드),35-44,male,2021-03-27,6 (전체),,38,38,,321,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (인스타피드),45-54,male,2021-03-27,6 (전체),,3,3,,26,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (인스타피드),25-34,unknown,2021-03-27,6 (전체),,3,3,,19,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (인스타피드),35-44,unknown,2021-03-27,6 (전체),,2,2,,17,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (페이스북),13-17,female,2021-03-27,1 (전체),23,883,1023,201.0592741,4624.363305,1.158550396,23,23,13,355.7202542,25,,25,,,2,2021-03-27,2021-03-27
6 (페이스북),45-54,male,2021-03-27,6 (전체),,59,65,,107.0242191,1.101694915,,,,,,,,,,,2021-03-27,2021-03-27
1 (페이스북),13-17,male,2021-03-27,1 (전체),4,555,662,397.5162236,1590.064894,1.192792793,4,4,2,795.0324472,4,,4,,,,2021-03-27,2021-03-27
1 (페이스북),18-24,female,2021-03-27,1 (전체),2,241,256,599.4172531,1198.834506,1.062240664,2,2,2,599.4172531,2,,2,,,,2021-03-27,2021-03-27
7 (인스타스토리),35-44,female,2021-03-27,7 (전체),1,4,4,53,53,1,1,1,1,53,1,,1,,,,2021-03-27,2021-03-27
7 (인스타스토리),25-34,female,2021-03-27,7 (전체),,5,5,,17,1,,,,,,,,,,,2021-03-27,2021-03-27
4 (인스타스토리),25-34,female,2021-03-27,4 (전체),,41,42,,216,1.024390244,,,,,,,,,,,2021-03-27,2021-03-27
7 (인스타스토리),35-44,male,2021-03-27,7 (전체),,1,1,,2,1,,,,,,,,,,,2021-03-27,2021-03-27
7 (인스타스토리),25-34,male,2021-03-27,7 (전체),,1,1,,2,1,,,,,,,,,,,2021-03-27,2021-03-27
7 (인스타스토리),25-34,unknown,2021-03-27,7 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (페이스북),18-24,male,2021-03-27,1 (전체),1,106,109,301.7200938,301.7200938,1.028301887,1,1,,,1,,1,,,,2021-03-27,2021-03-27
1 (페이스북),13-17,unknown,2021-03-27,1 (전체),,1,1,,3.017200938,1,,,,,,,,,,,2021-03-27,2021-03-27
2 (인스타스토리),18-24,female,2021-03-27,2 (전체),17,888,893,172.8823529,2939,1.005630631,16,17,10,293.9,17,,17,,,,2021-03-27,2021-03-27
6 (페이스북),45-54,female,2021-03-27,6 (전체),,54,55,,210.0475328,1.018518519,,,,,,,,,,,2021-03-27,2021-03-27
6 (페이스북),25-34,male,2021-03-27,6 (전체),,90,93,,286.0647352,1.033333333,,,,,,,,,,,2021-03-27,2021-03-27
2 (인스타스토리),18-24,unknown,2021-03-27,2 (전체),,7,7,,38,1,,,,,,,,,,,2021-03-27,2021-03-27
5 (인스타피드),Unknown,unknown,2021-03-27,5 (전체),,4,4,,58,1,,,,,,,,,,,2021-03-27,2021-03-27
5 (페이스북),25-34,female,2021-03-27,5 (전체),14,430,449,224.4831371,3142.763919,1.044186047,14,14,13,241.7510707,15,,15,1,,,2021-03-27,2021-03-27
5 (페이스북),18-24,female,2021-03-27,5 (전체),6,129,136,149.7030554,898.2183321,1.054263566,6,6,6,149.7030554,7,,7,,,1,2021-03-27,2021-03-27
5 (페이스북),35-44,female,2021-03-27,5 (전체),,15,16,,73.0177486,1.066666667,,,,,,,,,,,2021-03-27,2021-03-27
4 (인스타피드),Unknown,unknown,2021-03-27,4 (전체),,2,2,,10,1,,,,,,,,,,,2021-03-27,2021-03-27
5 (인스타스토리),25-34,female,2021-03-27,5 (전체),2,97,97,315,630,1,2,2,2,315,2,,2,,,,2021-03-27,2021-03-27
5 (인스타스토리),18-24,female,2021-03-27,5 (전체),1,69,69,327,327,1,1,1,1,327,1,,1,,,,2021-03-27,2021-03-27
4 (인스타피드),25-34,female,2021-03-27,4 (전체),5,192,194,289,1445,1.010416667,5,5,2,722.5,6,,6,,1,,2021-03-27,2021-03-27
4 (인스타피드),18-24,female,2021-03-27,4 (전체),41,1281,1288,183.902439,7540,1.005464481,40,41,30,251.3333333,52,,52,5,6,,2021-03-27,2021-03-27
5 (인스타피드),35-44,female,2021-03-27,5 (전체),1,28,28,274,274,1,1,1,,,2,,2,,1,,2021-03-27,2021-03-27
5 (인스타피드),18-24,female,2021-03-27,5 (전체),13,335,338,214.6923077,2791,1.008955224,13,13,11,253.7272727,15,,15,,2,,2021-03-27,2021-03-27
5 (인스타피드),25-34,female,2021-03-27,5 (전체),41,909,917,214.3902439,8790,1.00880088,39,41,35,251.1428571,43,,43,,2,,2021-03-27,2021-03-27
5 (인스타피드),13-17,unknown,2021-03-27,5 (전체),,1,1,,5,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (페이스북),35-44,female,2021-03-27,6 (전체),,101,102,,427.0966501,1.00990099,,,,,,,,,,,2021-03-27,2021-03-27
4 (페이스북),25-34,female,2021-03-27,4 (전체),4,139,142,269,1076,1.021582734,4,4,3,358.6666667,4,,4,,,,2021-03-27,2021-03-27
4 (페이스북),18-24,female,2021-03-27,4 (전체),14,517,542,236.7142857,3314,1.048355899,13,14,11,301.2727273,14,,14,,,,2021-03-27,2021-03-27
3 (페이스북),18-24,female,2021-03-27,3 (전체),31,928,999,187.7741935,5821,1.076508621,30,31,24,242.5416667,34,,34,1,1,1,2021-03-27,2021-03-27
3 (페이스북),25-34,female,2021-03-27,3 (전체),8,288,307,243.625,1949,1.065972222,8,8,6,324.8333333,10,,10,1,1,,2021-03-27,2021-03-27
2 (페이스북),18-24,unknown,2021-03-27,2 (전체),,2,2,,10,1,,,,,,,,,,,2021-03-27,2021-03-27
2 (페이스북),18-24,female,2021-03-27,2 (전체),35,1255,1385,238.3428571,8342,1.103585657,32,35,29,287.6551724,37,,37,1,1,,2021-03-27,2021-03-27
2 (페이스북),18-24,male,2021-03-27,2 (전체),4,143,164,204.5,818,1.146853147,4,4,3,272.6666667,5,,5,,1,,2021-03-27,2021-03-27
3 (인스타피드),Unknown,unknown,2021-03-27,3 (전체),,2,2,,25,1,,,,,,,,,,,2021-03-27,2021-03-27
3 (인스타피드),25-34,female,2021-03-27,3 (전체),8,158,161,185.625,1485,1.018987342,7,8,7,212.1428571,8,,8,,,,2021-03-27,2021-03-27
